timestamp,group_id,request_id,dns_resolution_s,tcp_connect_s,tls_handshake_s,time_to_first_byte_s,total_request_time_s,http_status,content_length,x_lodbrok_cell,x_cache
2025-07-24T16:45:32.340421,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIxMjQ1MzI2NTQwOCJ9,97e572b9-fb4b-4941-8477-5894a5b1c563,0.002078,0.030751,0.146435,0.669521,0.774148,200,89542,prod_central_1-c1,CONFIG_NOCACHE
2025-07-24T16:45:33.152707,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiI0NDUzMjQ0OTI4In0,33f6fd28-d7d4-4572-8d35-3dc431d4b66c,0.004045,0.037311,0.176265,0.745894,0.783985,200,67056,prod_central_1-c1,CONFIG_NOCACHE
2025-07-24T16:45:34.281295,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIyNjEzNTc0In0,0255a221-9498-4d82-ad77-a89b5eca70ca,0.005421,0.050557,0.163922,0.961302,1.099176,200,265053,prod_central_1-c1,CONFIG_NOCACHE
2025-07-24T16:45:34.934416,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiI0MzMyNDI5MzEyIn0,67df78e9-bcef-4c87-a6bb-d2c4fc224d43,0.002473,0.045811,0.148238,0.601141,0.632448,200,42076,prod_central_1-c1,CONFIG_NOCACHE
2025-07-24T16:45:36.114486,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiI2MjI4OTE0MTc2MCJ9,d970fc7c-5308-446f-a964-f91d6be71141,0.004095,0.027598,0.151272,1.037625,1.151083,200,227762,prod_central_1-c1,CONFIG_NOCACHE
2025-07-24T16:45:36.821807,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIxNzUwMTgwOTg2ODgifQ,90017b9b-6778-4789-96da-50b39d7c96c9,0.00384,0.03807,0.155818,0.619499,0.675705,200,37647,prod_central_1-c1,CONFIG_NOCACHE
2025-07-24T16:45:37.670588,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiI2MDUwMzIwIn0,cd5e410d-3318-4855-b1e4-5d1ba2834ca8,0.004372,0.051568,0.170675,0.769502,0.816194,200,36990,prod_central_1-c1,CONFIG_NOCACHE
2025-07-24T16:45:38.617781,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiI4MzIxMjc1In0,13d486f6-b2a6-487c-a5f3-c953376316a7,0.00378,0.041332,0.156623,0.808804,0.9183,200,129296,prod_central_1-c1,CONFIG_NOCACHE
2025-07-24T16:45:39.459435,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiI5NzY2MDMifQ,a6afa1b2-0d2c-4be6-9559-c65dcb5ab05b,0.004636,0.059915,0.188649,0.767072,0.808854,200,56932,prod_central_1-c1,CONFIG_NOCACHE
2025-07-24T16:45:40.260567,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIyMDE2MzA2NzkwNDAifQ,8c320072-407f-4f3f-a885-6d032238d115,0.004297,0.043159,0.16058,0.700363,0.771081,200,49276,prod_central_1-c1,CONFIG_NOCACHE
