timestamp,group_id,request_id,dns_resolution_s,tcp_connect_s,tls_handshake_s,time_to_first_byte_s,total_request_time_s,http_status,content_length,x_lodbrok_cell,x_cache
2025-07-24T16:47:21.735172,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiI0NDMxOTY5In0,42bc1ab3-f1f4-46a1-be40-05cc9e355742,0.007141,0.034373,0.169062,0.668533,0.785306,200,48296,prod_central_1-c1,CONFIG_NOCACHE
2025-07-24T16:47:22.442784,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIyMjI0NjY2NDYwMTYifQ,6520aed8-1761-47e3-b688-5375619766c2,0.00241,0.045059,0.139389,0.609714,0.688185,200,68494,prod_central_1-c1,CONFIG_NOCACHE
2025-07-24T16:47:23.242859,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiI2MDU4OTY4Njc4NCJ9,141baf72-e89d-4f2e-99d2-58a4519565a2,0.00354,0.043651,0.207527,0.735208,0.774513,200,21723,prod_central_1-c1,CONFIG_NOCACHE
2025-07-24T16:47:24.269570,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIzMDMwMDc3NDQwMCJ9,0a177bed-f4c1-4476-a426-bdc0cc0810ec,0.004146,0.045902,0.314591,0.949487,0.996107,200,57777,prod_central_1-c1,CONFIG_NOCACHE
2025-07-24T16:47:25.087253,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIxNzQzMDMzNDY2ODgifQ,8a49037f-93ad-4c5c-910f-6a9f8c9a3ba7,0.004134,0.041116,0.305368,0.763497,0.787788,200,11205,prod_central_1-c1,CONFIG_NOCACHE
2025-07-24T16:47:26.598397,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIxMjgzMjUxODE0NDAifQ,18ca9440-eae3-4c0c-841d-b95e30c7cf03,0.00458,0.031437,0.1513,1.357682,1.478265,200,423757,prod_central_1-c1,CONFIG_NOCACHE
2025-07-24T16:47:27.261558,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIyMjU5NzIxNjY2NTYifQ,d0b8d9f9-6f61-41f8-b7a8-85d0270f2d7b,0.00348,0.043107,0.151187,0.609829,0.633508,200,9588,prod_central_1-c1,CONFIG_NOCACHE
2025-07-24T16:47:27.928667,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIyMjc4NTQ3MTI4MzIifQ,617be217-922d-4343-819f-bf360d77c8e5,0.003005,0.041374,0.158909,0.6171,0.637235,200,19434,prod_central_1-c1,CONFIG_NOCACHE
2025-07-24T16:47:28.647220,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIxOTg5NTQ3ODY4MTYifQ,02342a03-3ba9-45fb-ad7e-1bda31b654bf,0.003992,0.035376,0.161237,0.666995,0.690099,200,29518,prod_central_1-c1,CONFIG_NOCACHE
2025-07-24T16:47:29.421655,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIxNzQzNTgwMjAwOTYifQ,04d8d7e1-f7f4-4565-b16a-8f8dd515221c,0.002862,0.04761,0.151227,0.706754,0.752257,200,35229,prod_central_1-c1,CONFIG_NOCACHE
2025-07-24T16:47:30.170702,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIyMTkzNzM3MjM2NDgifQ,2086aa19-6762-4006-85fa-baab92ee53fc,0.003829,0.037932,0.167619,0.694047,0.720751,200,20198,prod_central_1-c1,CONFIG_NOCACHE
2025-07-24T16:47:31.183513,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIxMTM1ODUwNzgyNzIifQ,f603457e-cc7a-48a2-9035-712e785b7b52,0.004216,0.029776,0.319545,0.948739,0.978672,200,36369,prod_central_1-c1,CONFIG_NOCACHE
2025-07-24T16:47:32.368671,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIxNTU3OTMzNjcwNDAifQ,79792893-ed0b-48f9-8545-37c90c521e54,0.012093,0.036965,0.156388,1.00555,1.148545,200,188785,prod_central_1-c1,CONFIG_NOCACHE
2025-07-24T16:47:33.088146,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiI5MTYzMDU5MjAwMCJ9,2b18ea6f-c692-4932-bb1e-562d9978f0de,0.003896,0.043325,0.150792,0.624609,0.682714,200,64625,prod_central_1-c1,CONFIG_NOCACHE
2025-07-24T16:47:33.765926,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIxMzU1ODAwMzMwMjQifQ,e108b27d-e743-4819-ab5f-df603d39a7e2,0.004092,0.031398,0.155335,0.562023,0.637585,200,58069,prod_central_1-c1,CONFIG_NOCACHE
2025-07-24T16:47:34.502701,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIxOTEzNDMzIn0,7ec59c77-2de7-4a26-a7b6-ee8c38a6e7c6,0.004021,0.041358,0.142826,0.659176,0.69643,200,45986,prod_central_1-c1,CONFIG_NOCACHE
2025-07-24T16:47:35.204315,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIxMjAzMjIyMjgyMjQifQ,6cc07625-2308-4748-a397-fd60aa379abf,0.002909,0.049236,0.189321,0.585421,0.662738,200,55935,prod_central_1-c1,CONFIG_NOCACHE
2025-07-24T16:47:35.972678,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIzNDY4NDc4ODczNiJ9,f6f57831-217c-45cf-a7a4-8a9d4bbb59a9,0.003671,0.027844,0.152357,0.65084,0.724235,200,82630,prod_central_1-c1,CONFIG_NOCACHE
2025-07-24T16:47:36.966689,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIxMjUwNzk0In0,8d2494ad-d4e0-4b77-8ea1-7aa1740c98e2,0.004117,0.033156,0.170407,0.910288,0.953992,200,48701,prod_central_1-c1,CONFIG_NOCACHE
2025-07-24T16:47:37.561928,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIzMjE3NzU5NDM2OCJ9,632f07e4-a2af-49fc-ba7a-019654f4117f,0.003336,0.024729,0.139379,0.525074,0.56015,200,25881,prod_central_1-c1,CONFIG_NOCACHE
2025-07-24T16:47:38.304193,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIyMjAwMTQ1MDE4ODgifQ,de57771c-2f75-4394-8992-bbce94877859,0.004035,0.034443,0.156718,0.611864,0.687006,200,63644,prod_central_1-c1,CONFIG_NOCACHE
2025-07-24T16:47:39.404424,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIxMTEyNTIxOSJ9,ea4fe6da-59f4-4747-b149-0d39b473ebb6,0.004943,0.04049,0.163121,0.986451,1.062442,200,106873,prod_central_1-c1,CONFIG_NOCACHE
2025-07-24T16:47:40.350927,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiI3MjQ0ODY5In0,affda3c1-9968-4de1-8c23-379369fae0f4,0.002752,0.04766,0.249951,0.869113,0.91851,200,40055,prod_central_1-c1,CONFIG_NOCACHE
2025-07-24T16:47:41.058879,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiI3OTA3ODIyNzk2OCJ9,71730431-67a0-47df-a7ea-0aed4055c246,0.002768,0.025839,0.163111,0.623666,0.674415,200,51148,prod_central_1-c1,CONFIG_NOCACHE
2025-07-24T16:47:41.751889,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiI1MDYyMDE3MDI0In0,dc16be54-fc67-40c6-aae6-dcd9458a0720,0.003387,0.036642,0.152613,0.635013,0.655354,200,20200,prod_central_1-c1,CONFIG_NOCACHE
2025-07-24T16:47:42.604471,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIxNDAzMjc5NSJ9,e7d2dff7-a4a4-4035-bb13-9666eeb20049,0.002843,0.038255,0.170078,0.773873,0.828743,200,34524,prod_central_1-c1,CONFIG_NOCACHE
2025-07-24T16:47:43.497347,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIyMTk1MDI3MzEyNjQifQ,86de2e40-3563-4224-8a69-722b04e54f72,0.003104,0.044893,0.344404,0.823607,0.865429,200,33751,prod_central_1-c1,CONFIG_NOCACHE
2025-07-24T16:47:44.625733,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIxMTcxMzk4In0,075d178c-8ad3-47a2-8c8c-27772e813148,0.002656,0.050236,0.216121,0.867998,1.095616,200,67216,prod_central_1-c1,CONFIG_NOCACHE
2025-07-24T16:47:45.359257,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIxMzg2NjkzOCJ9,255cccf4-0174-43ad-af28-15f41e35c4ba,0.002703,0.041725,0.141992,0.667279,0.708486,200,40563,prod_central_1-c1,CONFIG_NOCACHE
2025-07-24T16:47:46.191722,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiI0MzQ1MjQ5NzkyMCJ9,829cc912-7c37-4c0b-a895-4f0ed8d7bbe5,0.003639,0.036989,0.155525,0.695052,0.799489,200,43047,prod_central_1-c1,CONFIG_NOCACHE
2025-07-24T16:47:47.289567,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIxNTk3NTQ4OTUzNjAifQ,764c06d0-33a9-4ad0-b0ab-823f36ab9a5d,0.004671,0.05646,0.217673,1.029044,1.070769,200,52148,prod_central_1-c1,CONFIG_NOCACHE
2025-07-24T16:47:48.203312,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIyNDc4NjQyIn0,e965c3af-e1cb-4137-a776-ce21b16edba1,0.00282,0.195368,0.299228,0.827455,0.885453,200,31932,prod_central_1-c1,CONFIG_NOCACHE
2025-07-24T16:47:49.032252,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIxNTk5NDAwOSJ9,a3822eb1-8a22-4e3a-9542-581f998f20ef,0.003169,0.043119,0.156638,0.774852,0.803784,200,28764,prod_central_1-c1,CONFIG_NOCACHE
