timestamp,group_id,dns_resolution_s,request_id,tcp_connect_s,tls_handshake_s,time_to_first_byte_s,total_request_time_s,http_status,content_length,x_lodbrok_cell,x_cache
2025-07-23T15:51:59.798675,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiI0NDMxOTY5In0,0.00375,bd13fa5f-d4f8-4150-895d-0e473e8842a3,0.012243,0.061552,0.582916,0.629112,200,48364,prod_central_1-c1,CONFIG_NOCACHE
2025-07-23T15:52:00.456705,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIyMjI0NjY2NDYwMTYifQ,0.004987,fc388c3e-903e-40a4-9575-ebc43981a7b7,0.013514,0.070597,0.623009,0.632811,200,35774,prod_central_1-c1,CONFIG_NOCACHE
2025-07-23T15:52:01.196034,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiI2MDU4OTY4Njc4NCJ9,0.003361,35d26ed1-1b0f-4e16-8c0a-4c2ca44462b1,0.011937,0.069564,0.708622,0.711055,200,21794,prod_central_1-c1,CONFIG_NOCACHE
2025-07-23T15:52:01.844332,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIzMDMwMDc3NDQwMCJ9,0.003322,fa770cef-e026-4a84-a71c-5d3a310a756a,0.012661,0.066538,0.622243,0.623323,200,17305,prod_central_1-c1,CONFIG_NOCACHE
2025-07-23T15:52:02.342542,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIxNzQzMDMzNDY2ODgifQ,0.004607,9e817caa-b6a4-43e4-a055-10b6c7a4d796,0.013352,0.077812,0.469733,0.470871,200,11162,prod_central_1-c1,CONFIG_NOCACHE
2025-07-23T15:52:04.269370,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIxMjgzMjUxODE0NDAifQ,0.002501,2acb5daa-b575-406a-8d2d-6f90f83aeb94,0.010886,0.062024,1.786024,1.901702,200,391969,prod_central_1-c1,CONFIG_NOCACHE
2025-07-23T15:52:04.846238,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIyMjU5NzIxNjY2NTYifQ,0.003296,81173ac4-961d-4f5c-a842-60be681997b6,0.011482,0.049923,0.563357,0.563878,200,9608,prod_central_1-c1,CONFIG_NOCACHE
2025-07-23T15:52:05.495698,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIyMjc4NTQ3MTI4MzIifQ,0.002417,03ffb248-8c8b-4d33-b53f-8eab566a3ad8,0.010972,0.065672,0.626816,0.629574,200,19439,prod_central_1-c1,CONFIG_NOCACHE
2025-07-23T15:52:06.344257,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIxOTg5NTQ3ODY4MTYifQ,0.003161,46bf1da9-2ee8-4147-93d6-ce931e98770c,0.011859,0.057984,0.781147,0.819594,200,50121,prod_central_1-c1,CONFIG_NOCACHE
2025-07-23T15:52:07.338169,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIxNzQzNTgwMjAwOTYifQ,0.003113,9561bfae-1f89-4820-a5f7-b7b4bb9063c4,0.011414,0.060119,0.959535,0.969186,200,35221,prod_central_1-c1,CONFIG_NOCACHE
2025-07-23T15:52:07.911164,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIyMTkzNzM3MjM2NDgifQ,0.005025,7dbaa9fc-f564-44d3-80c4-a74925da3560,0.01368,0.060693,0.511316,0.546213,200,20156,prod_central_1-c1,CONFIG_NOCACHE
2025-07-23T15:52:08.880745,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIxMTM1ODUwNzgyNzIifQ,0.003969,77239207-17a8-462a-a9f2-58c2852b5470,0.013421,0.072967,0.927938,0.940138,200,36361,prod_central_1-c1,CONFIG_NOCACHE
2025-07-23T15:52:09.952350,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIxNTU3OTMzNjcwNDAifQ,0.003521,ab92855a-9841-48e8-b161-d75d06a6dc7c,0.011956,0.061111,0.933995,1.043957,200,188655,prod_central_1-c1,CONFIG_NOCACHE
2025-07-23T15:52:10.611087,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiI5MTYzMDU5MjAwMCJ9,0.003092,e96a5818-7755-4620-b839-1841ba54247a,0.01304,0.073154,0.604988,0.631416,200,22149,prod_central_1-c1,CONFIG_NOCACHE
2025-07-23T15:52:11.339807,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIxMzU1ODAwMzMwMjQifQ,0.003365,99cccc72-33d3-466e-8948-497fc935333e,0.011585,0.058676,0.688429,0.698935,200,58153,prod_central_1-c1,CONFIG_NOCACHE
2025-07-23T15:52:12.155445,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIxOTEzNDMzIn0,0.002358,4692c32b-8cee-4f6a-9a35-c6ab6447f70a,0.010763,0.086989,0.779235,0.788847,200,40990,prod_central_1-c1,CONFIG_NOCACHE
2025-07-23T15:52:12.867705,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIxMjAzMjIyMjgyMjQifQ,0.004799,5e1828ee-4ec4-486e-ac78-3ebdefb8dd15,0.018271,0.06625,0.677653,0.687803,200,56086,prod_central_1-c1,CONFIG_NOCACHE
2025-07-23T15:52:13.728740,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIzNDY4NDc4ODczNiJ9,0.004442,e366fc13-092f-41f9-bac4-bbb4137317d8,0.01296,0.069625,0.764837,0.835388,200,67562,prod_central_1-c1,CONFIG_NOCACHE
2025-07-23T15:52:14.407203,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIxMjUwNzk0In0,0.003506,f0c01a14-8c1b-4f2a-a1a0-42f1e02883b0,0.012147,0.064253,0.620425,0.65621,200,33020,prod_central_1-c1,CONFIG_NOCACHE
2025-07-23T15:52:15.131731,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIzMjE3NzU5NDM2OCJ9,0.00214,49c10915-fdee-4321-8b26-ad5752609a83,0.010208,0.053888,0.691033,0.71203,200,104439,prod_central_1-c1,CONFIG_NOCACHE
2025-07-23T15:52:15.945855,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIyMjAwMTQ1MDE4ODgifQ,0.00318,19c8fe38-f800-41cd-9e5a-92bb7a6a5d8e,0.011551,0.059557,0.763218,0.798527,200,63833,prod_central_1-c1,CONFIG_NOCACHE
2025-07-23T15:52:16.754449,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIxMTEyNTIxOSJ9,0.003136,ac32be71-d438-42e9-a2cb-ca634d1c71d7,0.011465,0.050697,0.677706,0.782885,200,104848,prod_central_1-c1,CONFIG_NOCACHE
2025-07-23T15:52:17.406976,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiI3MjQ0ODY5In0,0.00334,b3f72e84-177c-4fcf-b084-c3c1bfe2d06d,0.011875,0.075553,0.613131,0.623993,200,40060,prod_central_1-c1,CONFIG_NOCACHE
2025-07-23T15:52:18.194600,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiI3OTA3ODIyNzk2OCJ9,0.004291,59748da5-4a5d-47c0-a2ad-cb9d215dbd90,0.012479,0.055935,0.722422,0.759911,200,47997,prod_central_1-c1,CONFIG_NOCACHE
2025-07-23T15:52:18.807159,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiI1MDYyMDE3MDI0In0,0.002373,5d48a793-cfb2-4963-8730-b9087ffa87a5,0.01073,0.058139,0.588537,0.592559,200,22998,prod_central_1-c1,CONFIG_NOCACHE
2025-07-23T15:52:19.525839,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIxNDAzMjc5NSJ9,0.003909,03882c0d-21c7-4140-9d6e-35312d6a89c2,0.012865,0.068356,0.680694,0.689928,200,34545,prod_central_1-c1,CONFIG_NOCACHE
2025-07-23T15:52:20.241493,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIyMTk1MDI3MzEyNjQifQ,0.003766,cc5acc04-fab0-4ef6-9bc7-e5cdcf9dfecd,0.01241,0.061868,0.679545,0.689077,200,33835,prod_central_1-c1,CONFIG_NOCACHE
2025-07-23T15:52:21.007909,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIxMTcxMzk4In0,0.003435,b44bd15e-3256-4a40-942a-f89c6b178c84,0.013004,0.062963,0.685706,0.742701,200,60966,prod_central_1-c1,CONFIG_NOCACHE
2025-07-23T15:52:21.838734,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIxMzg2NjkzOCJ9,0.004705,2e312111-313b-4835-9dcb-85fa9410beb8,0.013361,0.070614,0.691119,0.797767,200,116467,prod_central_1-c1,CONFIG_NOCACHE
2025-07-23T15:52:22.607675,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiI0MzQ1MjQ5NzkyMCJ9,0.003801,ce8a9d64-0801-4580-8062-25309bf33b5b,0.012361,0.078496,0.725099,0.740697,200,43108,prod_central_1-c1,CONFIG_NOCACHE
2025-07-23T15:52:23.537064,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIxNTk3NTQ4OTUzNjAifQ,0.003185,73bc3ee1-592c-41ac-9ff2-f750ace76072,0.011635,0.059253,0.878735,0.908269,200,52108,prod_central_1-c1,CONFIG_NOCACHE
